Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\AudioProcessor.csproj,,,,,,,,Current target framework: net8.0-windows Recommended target framework: net10.0--windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\CUETools.Flake\CUETools.Codecs.FLAKE\FlakeWriter.cs,1697,4,T:System.Security.Cryptography.MD5CryptoServiceProvider,,,,,md5 = new MD5CryptoServiceProvider();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\Concentus.OggFile\Concentus.Oggfile\OpusOggWriteStream.cs,114,16,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,return TimeSpan.FromMilliseconds(FRAME_SIZE_MS * _maxPacketsPerPage);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\Concentus.OggFile\Concentus.Oggfile\OpusOggReadStream.cs,83,37,M:System.TimeSpan.FromSeconds(System.Double),,,,,TimeSpan.FromSeconds(GranuleCount / GranuleSampleRate)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\Concentus.OggFile\Concentus.Oggfile\OpusOggReadStream.cs,73,39,M:System.TimeSpan.FromSeconds(System.Double),,,,,TimeSpan.FromSeconds((double)PageGranulePosition / GranuleSampleRate)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NVorbis\NVorbis\StreamDecoder.cs,706,19,M:System.TimeSpan.FromSeconds(System.Double),,,,,TimeSpan.FromSeconds((double)_currentPosition / _sampleRate)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NVorbis\NVorbis\StreamDecoder.cs,694,37,M:System.TimeSpan.FromSeconds(System.Double),,,,,TimeSpan.FromSeconds((double)TotalSamples / _sampleRate)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio.Flac\NAudio.Flac\ID3Utils.cs,154,16,M:System.Net.WebClient.#ctor,,,,,var client = new WebClient();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio.Flac\NAudio.Flac\FlacException.cs,23,12,"M:System.Exception.GetObjectData(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,"base.GetObjectData(info, context);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio.Lame\NAudio.Lame\LameDLL.cs,51,38,P:System.Environment.OSVersion,,,,,Environment.OSVersion
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,103,8,T:System.Windows.Forms.PaintEventArgs,,,,,protected override void OnPaint(PaintEventArgs e)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,131,12,M:System.Windows.Forms.Control.OnPaint(System.Windows.Forms.PaintEventArgs),,,,,base.OnPaint (e);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,127,20,P:System.Windows.Forms.Control.Height,,,,,"e.Graphics.DrawLine(Pens.Black,x,this.Height * lowPercent,x,this.Height * highPercent);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,127,20,P:System.Windows.Forms.Control.Height,,,,,"e.Graphics.DrawLine(Pens.Black,x,this.Height * lowPercent,x,this.Height * highPercent);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,127,20,T:System.Drawing.Pens,,,,,"e.Graphics.DrawLine(Pens.Black,x,this.Height * lowPercent,x,this.Height * highPercent);"
